study_hours,attendance_rate,previous_score,final_marks
9.29,73.67,6.21,46.84
5.27,88.64,45.83,55.21
10.3,92.11,12.9,51.06
8.37,50.36,15.23,40.31
1.13,52.03,63.23,49.78
11.71,79.99,39.29,65.23
9.13,31.45,92.19,64.68
9.43,83.74,31.92,53.59
1.54,49.41,72.62,45.58
5.4,11.59,46.11,28.85
4.45,7.21,66.0,41.14
11.12,84.2,59.97,78.43
7.73,5.56,47.28,38.35
9.87,28.06,95.01,63.01
5.32,33.41,34.27,35.42
2.73,17.3,17.72,18.05
6.66,31.39,67.81,60.58
0.77,74.27,84.6,56.78
9.93,1.47,4.03,20.75
7.58,82.72,44.96,66.18
9.1,85.65,89.25,85.63
4.25,37.23,74.96,55.38
11.65,15.36,99.18,72.94
10.72,60.08,53.14,64.53
9.34,11.97,66.0,54.69
2.34,36.49,30.25,26.4
5.6,95.84,94.75,85.67
0.53,99.55,36.63,42.59
1.85,77.21,73.85,61.25
8.2,31.1,40.31,44.49
8.94,68.77,56.18,61.63
11.61,70.54,71.98,76.69
3.91,38.78,50.89,40.18
4.45,64.09,90.71,65.19
5.63,1.07,41.93,29.22
2.27,20.91,64.71,36.07
1.56,52.51,34.24,35.41
5.71,16.38,40.82,30.67
2.72,16.59,44.01,32.72
8.04,83.63,12.58,42.69
5.25,98.91,9.17,42.31
9.99,55.6,66.75,64.51
8.4,83.91,65.55,76.11
3.75,99.03,66.29,68.19
9.99,14.16,1.98,24.37
9.66,44.82,32.65,49.2
4.65,39.26,19.78,22.6
3.46,8.0,77.82,44.19
8.19,75.53,86.06,84.76
1.68,43.38,24.67,27.93
2.4,46.93,66.78,49.17
0.09,15.07,12.94,12.44
9.44,18.09,27.52,39.83
7.98,90.71,13.87,42.42
8.46,4.46,28.35,25.13
9.37,23.29,67.47,56.82
5.51,29.21,91.03,58.24
6.82,49.02,20.25,42.06
1.68,58.64,54.21,44.24
1.37,49.33,70.14,42.34
8.02,8.41,95.29,57.01
5.65,24.37,61.01,36.45
6.78,84.36,25.51,49.53
9.18,63.76,62.55,64.97
7.62,64.91,32.05,47.64
6.64,67.02,97.61,81.09
6.71,76.29,39.97,58.49
3.65,5.81,68.54,39.29
0.37,36.66,2.32,5.31
5.24,53.95,40.01,46.83
2.58,33.85,87.51,56.63
4.9,84.45,61.02,63.68
10.24,48.26,44.39,58.37
2.81,76.86,93.59,66.71
0.7,85.2,85.4,72.42
3.38,50.48,32.22,33.04
3.52,90.96,54.45,61.46
7.94,58.71,48.98,49.64
6.68,85.03,63.22,64.07
9.41,34.06,33.41,49.37
7.97,49.88,24.42,40.98
4.88,53.14,91.27,69.71
9.77,10.5,92.39,65.09
2.0,39.86,84.33,53.55
0.27,91.73,97.82,76.86
1.08,63.08,74.5,53.78
8.67,17.75,76.47,50.84
5.54,33.89,76.26,52.76
1.94,19.16,48.06,33.18
6.01,2.48,45.65,34.69
1.83,92.75,24.02,36.8
8.36,44.82,64.48,56.64
5.35,30.75,28.93,30.92
4.57,59.85,25.78,37.42
3.62,0.73,58.6,29.01
7.56,27.8,41.0,39.72
4.34,70.3,21.89,37.07
1.05,63.38,81.61,60.54
1.42,98.18,86.06,73.84
11.54,62.04,16.77,48.73
10.9,47.75,0.75,35.1
8.4,76.14,33.61,55.25
3.19,90.33,79.75,66.51
11.63,72.07,83.92,78.63
9.35,96.32,13.83,50.52
8.6,78.2,77.43,73.29
5.39,86.68,11.57,37.92
3.27,11.41,39.01,28.08
1.16,73.24,99.86,71.78
10.83,44.01,19.26,37.98
5.47,55.31,15.4,34.55
2.43,65.41,42.28,42.74
3.67,96.98,61.97,65.52
6.95,98.46,93.29,85.37
2.12,28.82,98.08,51.94
10.28,73.38,6.96,41.29
9.1,75.0,13.8,47.02
8.63,34.65,79.07,66.85
5.19,12.39,27.06,18.52
7.53,4.09,88.48,57.31
7.01,77.73,66.35,71.36
7.8,48.97,11.18,34.78
1.01,98.55,83.25,70.98
4.99,46.5,17.64,29.4
0.5,97.79,42.35,48.98
5.93,41.16,55.22,43.38
3.96,79.37,50.08,46.06
1.73,8.48,68.62,40.19
1.24,55.55,65.27,45.07
7.05,80.21,99.2,81.21
2.05,92.47,99.94,71.96
11.1,82.26,51.65,65.19
6.97,3.7,9.52,18.73
4.16,37.27,72.78,49.71
7.09,4.87,97.67,60.92
0.27,10.93,31.83,19.73
11.5,67.53,46.12,65.14
5.79,71.33,42.48,52.92
9.39,77.37,5.14,49.83
0.99,86.55,67.23,54.46
5.84,73.94,35.33,49.57
5.89,80.09,78.75,75.2
11.25,4.9,83.21,65.85
